gname,iyear,country,attacktype1,weaptype1,targtype1
Black Panthers,1970,217,3,6,1
Black Panthers,1970,217,3,6,1
Strikers,1970,217,3,6,14
Argentine Liberation Front (FAL),1970,11,6,13,7
White extremists,1970,217,3,6,14
Black Nationalists,1970,217,3,6,3
Black Nationalists,1970,217,3,6,3
Popular Front for the Liberation of Palestine (PFLP),1970,110,3,6,7
Left-Wing Militants,1970,217,7,8,2
Left-Wing Militants,1970,217,7,8,4
Rebel Armed Forces of Guatemala (FAR),1970,83,6,13,7
Japanese Red Army (JRA),1970,101,4,6,6
Left-Wing Militants,1970,217,3,6,2
Student Radicals,1970,217,3,6,8
Eritrean Liberation Front,1970,65,6,13,7
Student Radicals,1970,217,3,6,8
White extremists,1970,217,7,8,8
Student Radicals,1970,217,7,8,4
New People's Army (NPA),1970,160,9,13,4
Left-Wing Militants,1970,217,3,6,1
Left-Wing Militants,1970,217,3,6,1
Left-Wing Militants,1970,217,3,6,14
Student Radicals,1970,217,7,8,8
Popular Revolutionary Vanguard (VPR),1970,30,6,13,7
Argentine Liberation Front (FAL),1970,11,2,5,4
Strikers,1970,217,3,6,21
Strikers,1970,217,7,8,1
Student Radicals,1970,217,7,8,8
Strikers,1970,217,3,6,14
Chicano Liberation Front,1970,217,7,8,8
Left-Wing Militants,1970,217,3,6,4
Student Radicals,1970,217,7,8,8
New World Liberation Front (NWLF),1970,217,3,6,21
Strikers,1970,217,3,6,1
Student Radicals,1970,217,3,6,8
Popular Front for the Liberation of Palestine (PFLP),1970,102,3,6,7
Cuban Exiles,1970,217,7,8,14
Chicano Liberation Front,1970,217,7,8,8
Chicano Liberation Front,1970,217,7,8,8
Strikers,1970,217,3,6,1
Black Panthers,1970,217,2,5,3
White extremists,1970,217,3,6,15
White extremists,1970,217,3,6,1
White extremists,1970,217,3,6,1
White extremists,1970,217,3,6,2
Black Nationalists,1970,217,3,6,3
Student Radicals,1970,217,7,8,8
Left-Wing Militants,1970,217,7,8,1
Strikers,1970,217,3,6,1
Student Radicals,1970,217,7,8,8
Student Radicals,1970,217,7,8,8
Student Radicals,1970,217,7,8,2
Student Radicals,1970,217,7,8,3
Left-Wing Militants,1970,217,7,8,8
Armed Commandos of Liberation,1970,217,3,6,4
Armed Commandos of Liberation,1970,217,3,6,16
Armed Commandos of Liberation,1970,217,3,6,16
Armed Commandos of Liberation,1970,217,3,6,3
Student Radicals,1970,217,7,8,8
Black Panthers,1970,217,2,5,3
Left-Wing Militants,1970,217,3,6,4
Palestinians,1970,209,3,6,6
Left-Wing Militants,1970,217,7,8,8
Left-Wing Militants,1970,217,3,6,1
Left-Wing Militants,1970,217,3,6,1
Left-Wing Militants,1970,217,3,6,1
Black Nationalists,1970,217,3,6,2
Black Nationalists,1970,217,3,6,9
Left-Wing Militants,1970,217,3,6,2
Black Nationalists,1970,217,3,6,1
Student Radicals,1970,217,7,8,8
Student Radicals,1970,217,7,8,8
Student Radicals,1970,217,3,6,8
Left-Wing Militants,1970,217,7,8,14
Extraparliamentary Opposition (APO),1970,362,7,8,1
Black Nationalists,1970,217,3,6,3
Black Nationalists,1970,217,3,6,1
Black Nationalists,1970,217,7,8,15
Puerto Rican Nationalists,1970,217,3,6,1
Left-Wing Militants,1970,217,7,8,4
Student Radicals,1970,217,3,6,4
Student Radicals,1970,217,3,6,8
Armed Revolutionary Independence Movement (MIRA),1970,217,3,6,1
Armed Revolutionary Independence Movement (MIRA),1970,217,3,6,1
Palestinians,1970,158,1,5,7
Strikers,1970,217,7,8,2
Student Radicals,1970,217,3,6,4
Left-Wing Militants,1970,217,7,8,2
Left-Wing Militants,1970,217,7,8,4
Extraparliamentary Opposition (APO),1970,499,7,8,7
Left-Wing Militants,1970,217,7,8,4
Black Afro Militant Movement,1970,217,3,6,8
Left-Wing Militants,1970,217,7,8,2
Left-Wing Militants,1970,217,7,8,2
Left-Wing Militants,1970,217,3,6,4
Left-Wing Militants,1970,217,7,8,4
Left-Wing Militants,1970,217,7,8,2
Left-Wing Militants,1970,217,7,8,4
Left-Wing Militants,1970,217,7,8,2
Black Nationalists,1970,217,7,8,15
Left-Wing Militants,1970,217,7,8,4
Left-Wing Militants,1970,217,3,6,2
Black Nationalists,1970,217,2,5,3
Extraparliamentary Opposition (APO),1970,499,7,8,1
"Weather Underground, Weathermen",1970,217,3,6,12
1st of May Group,1970,199,3,6,6
Ku Klux Klan,1970,217,3,6,16
Left-Wing Militants,1970,217,7,8,2
Black Panthers,1970,217,3,6,3
Left-Wing Militants,1970,217,3,6,4
Black Nationalists,1970,217,7,8,14
Black Afro Militant Movement,1970,217,7,8,1
Left-Wing Militants,1970,217,7,8,4
Student Radicals,1970,217,3,6,8
Student Radicals,1970,217,3,6,8
Black Nationalists,1970,217,7,8,1
Tupamaros (Uruguay),1970,218,1,5,4
Black Nationalists,1970,217,3,6,1
Cuban Action,1970,217,3,6,4
Left-Wing Militants,1970,217,7,8,2
Left-Wing Militants,1970,217,7,8,2
Black Afro Militant Movement,1970,217,7,8,8
Strikers,1970,217,3,6,14
Jewish Defense League (JDL),1970,217,8,9,17
Black Nationalists,1970,217,2,5,3
Black Panthers,1970,217,3,6,3
Black Nationalists,1970,217,7,8,1
Black Nationalists,1970,217,7,8,1
Black Nationalists,1970,217,7,8,1
Left-Wing Militants,1970,217,3,6,2
Black Nationalists,1970,217,7,8,15
Black Nationalists,1970,217,7,8,15
Black Panthers,1970,217,2,5,3
Left-Wing Militants,1970,217,3,6,2
Student Radicals,1970,217,3,6,8
Right-wing extremists,1970,217,7,8,8
Montoneros (Argentina),1970,11,6,13,2
Tupamaros (Uruguay),1970,218,2,5,4
Black Nationalists,1970,217,3,6,14
Left-Wing Militants,1970,217,7,11,4
Left-Wing Militants,1970,217,3,6,1
Montoneros (Argentina),1970,11,1,5,2
Left-Wing Militants,1970,217,7,8,2
Black Nationalists,1970,217,3,6,3
Student Radicals,1970,217,3,6,4
Extraparliamentary Opposition (APO),1970,362,2,5,1
Extraparliamentary Opposition (APO),1970,362,2,5,2
Black Nationalists,1970,217,3,6,3
Popular Front for the Liberation of Palestine (PFLP),1970,102,6,13,7
Black Nationalists,1970,217,3,6,3
"Weather Underground, Weathermen",1970,217,3,6,2
Left-Wing Militants,1970,217,3,6,4
Armed Forces of National Liberation- Venezuela (FALN),1970,222,6,13,1
Popular Front for the Liberation of Palestine (PFLP),1970,94,3,6,6
"Weather Underground, Weathermen",1970,217,3,6,3
Popular Front for the Liberation of Palestine (PFLP),1970,102,5,5,1
Popular Front for the Liberation of Palestine (PFLP),1970,102,5,5,1
Left-Wing Militants,1970,217,7,8,2
Black Nationalists,1970,217,1,5,14
Popular Front for the Liberation of Palestine (PFLP),1970,102,1,13,4
Popular Revolutionary Vanguard (VPR),1970,30,6,13,7
Black Panthers,1970,217,3,6,3
Tupamaros (Uruguay),1970,218,9,13,7
Black Nationalists,1970,217,3,6,2
Black Nationalists,1970,217,2,5,3
Black Panthers,1970,217,3,6,1
Black Nationalists,1970,217,3,6,1
Black Nationalists,1970,217,3,6,3
Black Nationalists,1970,217,3,6,3
Student Radicals,1970,217,7,8,8
Black Nationalists,1970,217,7,8,13
Black Nationalists,1970,217,2,5,3
Black Nationalists,1970,217,2,5,3
Black Panthers,1970,217,3,6,3
Left-Wing Militants,1970,217,3,6,4
Jewish Defense League (JDL),1970,217,3,6,1
White extremists,1970,217,3,6,14
Irish Republican Army (IRA),1970,603,2,8,17
Irish Republican Army (IRA),1970,603,2,5,14
Irish Republican Army (IRA),1970,603,2,5,14
Irish Republican Army (IRA),1970,603,2,5,14
Ulster Volunteer Force (UVF),1970,603,2,5,15
Black Panthers,1970,217,3,6,8
Left-Wing Militants,1970,217,3,6,1
Black Nationalists,1970,217,2,5,3
Left-Wing Militants,1970,217,3,6,1
Black Nationalists,1970,217,7,8,15
Revolutionary Force Seven,1970,217,3,6,14
Student Radicals,1970,217,3,6,8
Revolutionary Force Seven,1970,217,3,6,7
Revolutionary Force Seven,1970,217,3,6,7
Revolutionary Force Seven,1970,217,3,6,7
Revolutionary Force Seven,1970,217,3,6,7
Black Panthers,1970,217,3,6,1
Black Nationalists,1970,217,3,6,3
White extremists,1970,217,3,6,14
Left-Wing Militants,1970,217,7,8,4
White extremists,1970,217,3,6,8
Strikers,1970,217,1,5,14
Black Nationalists,1970,217,3,6,3
"Weather Underground, Weathermen",1970,217,3,6,14
Strikers,1970,217,7,8,10
Left-Wing Militants,1970,217,7,8,2
Rebel Armed Forces of Guatemala (FAR),1970,83,6,13,1
White extremists,1970,217,2,5,14
Black Nationalists,1970,217,7,8,12
Left-Wing Militants,1970,217,7,8,4
White extremists,1970,217,7,8,12
Left-Wing Militants,1970,217,7,8,4
Left-Wing Militants,1970,217,7,8,2
Black Nationalists,1970,217,2,5,3
Left-Wing Militants,1970,217,3,6,1
Black Nationalists,1970,217,7,8,12
Left-Wing Militants,1970,217,3,6,3
Left-Wing Militants,1970,217,3,6,1
Arabs,1970,78,4,5,6
Left-Wing Militants,1970,217,3,6,21
Left-Wing Militants,1970,217,7,8,4
Sandinista National Liberation Front (FSLN),1970,145,6,13,1
Left-Wing Militants,1970,217,3,6,2
Jewish Defense League (JDL),1970,217,7,8,12
"Weather Underground, Weathermen",1970,217,3,6,1
Left-Wing Militants,1970,217,3,6,4
Left-Wing Militants,1970,217,3,6,4
Tupamaros (Uruguay),1970,218,6,13,2
GAC,1970,185,3,6,10
"Weather Underground, Weathermen",1970,217,3,6,2
Black Panthers,1970,217,3,6,21
Tupamaros (Uruguay),1970,218,6,13,7
Tupamaros (Uruguay),1970,218,6,13,7
Tupamaros (Uruguay),1970,218,6,13,2
Revolutionary Armed Forces- Argentina (FAR-A),1970,11,2,5,14
White extremists,1970,217,2,5,14
South Moluccans,1970,142,2,5,7
"Weather Underground, Weathermen",1970,217,3,6,1
Croatian Nationalists,1970,21,3,6,7
Black Nationalists,1970,217,3,6,3
Left-Wing Militants,1970,217,3,6,1
Black Nationalists,1970,217,2,5,3
Left-Wing Militants,1970,217,7,8,2
Peronist Armed Forces (FAP),1970,11,2,5,1
Irish Republican Army (IRA),1970,603,3,6,3
White extremists,1970,217,1,5,14
Black Panthers,1970,217,3,6,14
Left-Wing Militants,1970,217,3,6,4
Jewish Defense League (JDL),1970,217,7,8,12
Tupamaros (Uruguay),1970,218,6,13,2
Left-Wing Militants,1970,217,7,8,2
Black Nationalists,1970,217,2,5,3
Tupamaros (Uruguay),1970,218,5,5,16
Student Radicals,1970,217,7,8,8
Black Panthers,1970,217,3,6,3
Left-Wing Militants,1970,217,7,8,4
New Year's Gang,1970,217,3,6,4
Left-Wing Militants,1970,217,7,8,3
Student Radicals,1970,217,7,8,8
White extremists,1970,217,3,6,8
Left-Wing Militants,1970,217,7,8,4
Left-Wing Militants,1970,217,7,8,2
Left-Wing Militants,1970,217,3,6,2
Student Radicals,1970,217,7,8,8
Turkish People's Liberation Army,1970,209,3,6,4
Palestinians,1970,102,6,13,4
Tupamaros (Uruguay),1970,218,7,8,1
"Weather Underground, Weathermen",1970,217,2,5,1
Black Nationalists,1970,217,3,6,3
Left-Wing Militants,1970,217,3,6,1
Left-Wing Militants,1970,217,3,6,1
Tupamaros (Uruguay),1970,218,1,6,2
Irish Republican Army (IRA),1970,603,3,6,17
Left-Wing Militants,1970,217,3,6,1
Left-Wing Militants,1970,217,3,6,2
Black Nationalists,1970,217,3,6,3
Left-Wing Militants,1970,217,3,6,2
Popular Front for the Liberation of Palestine (PFLP),1970,362,4,6,6
Popular Front for the Liberation of Palestine (PFLP),1970,199,4,13,6
Popular Front for the Liberation of Palestine (PFLP),1970,142,4,5,6
Popular Front for the Liberation of Palestine (PFLP),1970,97,4,5,6
Extraparliamentary Opposition (APO),1970,499,3,6,14
Ejercito Revolucionaria del Pueblo (ERP) (Argentina),1970,11,3,6,7
Right-wing extremists,1970,217,7,8,10
Student Radicals,1970,217,7,8,8
Palestine Liberation Organization (PLO),1970,102,6,13,7
Tupamaros (Uruguay),1970,218,3,6,1
Jewish Defense League (JDL),1970,603,6,13,7
Tupamaros (Uruguay),1970,218,7,8,1
Tupamaros (Uruguay),1970,218,7,8,1
Ejercito Revolucionaria del Pueblo (ERP) (Argentina),1970,11,2,5,3
Black Panthers,1970,217,2,5,3
Welsh Extremists,1970,217,3,6,4
"Weather Underground, Weathermen",1970,217,2,5,3
Tupamaros (Uruguay),1970,218,7,8,1
"Weather Underground, Weathermen",1970,217,3,6,4
Tupamaros (Uruguay),1970,218,6,13,3
Jewish Defense League (JDL),1970,217,4,6,6
Protestant extremists,1970,603,2,5,14
White extremists,1970,217,7,8,14
Turkish People's Liberation Front (TPLF)(THKP-C),1970,209,3,6,4
Student Radicals,1970,217,3,6,8
Neo-Nazi extremists,1970,217,7,8,9
Turkish People's Liberation Army,1970,209,3,6,1
"Weather Underground, Weathermen",1970,217,3,6,14
Student Radicals,1970,217,3,6,8
Turkish People's Liberation Army,1970,209,2,8,4
"Weather Underground, Weathermen",1970,217,3,6,4
"Weather Underground, Weathermen",1970,217,3,6,2
"Weather Underground, Weathermen",1970,217,3,6,8
Tupamaros (Uruguay),1970,218,7,8,1
Ku Klux Klan,1970,217,3,6,16
Iranians,1970,94,4,13,6
"Weather Underground, Weathermen",1970,217,3,6,2
"Weather Underground, Weathermen",1970,217,3,6,8
"Weather Underground, Weathermen",1970,217,3,6,8
Tupamaros (Uruguay),1970,218,7,8,10
Tupamaros (Uruguay),1970,218,7,8,1
Tupamaros (Uruguay),1970,218,7,8,6
Tupamaros (Uruguay),1970,218,7,8,1
Black Nationalists,1970,217,3,6,3
Black Nationalists,1970,217,7,8,2
Croatian Nationalists,1970,14,3,6,7
Black Nationalists,1970,217,2,5,3
Black Liberation Army,1970,217,3,6,15
Black Nationalists,1970,217,7,8,1
Black Panthers,1970,217,2,5,3
Turkish People's Liberation Army,1970,209,3,6,4
1st of May Group,1970,603,7,8,6
Left-Wing Militants,1970,217,7,8,2
Left-Wing Militants,1970,217,3,6,3
Left-Wing Militants,1970,217,7,8,4
Left-Wing Militants,1970,217,3,6,4
Left-Wing Militants,1970,217,3,6,3
Left-Wing Militants,1970,217,3,6,4
Left-Wing Militants,1970,217,3,6,20
White extremists,1970,217,2,5,14
Student Radicals,1970,217,7,8,4
Montoneros (Argentina),1970,11,2,5,14
Montoneros (Argentina),1970,11,2,5,14
Black Nationalists,1970,217,7,8,1
Student Radicals,1970,217,7,8,4
White extremists,1970,217,2,5,14
Baader-Meinhof Group,1970,362,2,8,4
Left-Wing Militants,1970,217,7,8,2
Armed Commandos of Liberation,1970,217,3,6,1
Armed Commandos of Liberation,1970,217,3,6,1
Armed Commandos of Liberation,1970,217,3,6,1
Armed Commandos of Liberation,1970,217,3,6,1
Argentine Liberation Front (FAL),1970,11,1,5,3
Black Nationalists,1970,217,8,9,3
Irish Republican Army (IRA),1970,603,2,5,14
Left-Wing Militants,1970,217,7,8,3
Peronist Armed Forces (FAP),1970,11,3,6,2
Peronist Armed Forces (FAP),1970,11,3,6,2
Peronist Armed Forces (FAP),1970,11,2,5,4
Turkish People's Liberation Army,1970,209,3,6,7
Tupamaros (Uruguay),1970,218,2,5,1
Left-Wing Militants,1970,217,3,6,2
Strikers,1970,217,3,6,14
Left-Wing Militants,1970,217,3,6,20
Armed Commandos of Liberation,1970,217,3,6,7
Jewish Defense League (JDL),1970,217,3,6,6
Jewish Defense League (JDL),1970,217,3,6,18
Student Radicals,1970,217,3,6,8
Armed Commandos of Liberation,1970,217,3,6,4
Tupamaros (Uruguay),1970,218,7,8,1
Tupamaros (Uruguay),1970,218,2,5,1
Basque Fatherland and Freedom (ETA),1970,185,6,13,7
Tupamaros (Uruguay),1970,218,3,6,1
Tupamaros (Uruguay),1970,218,3,6,1
Student Radicals,1970,217,3,6,8
Popular Revolutionary Vanguard (VPR),1970,30,6,13,7
Tupamaros (Uruguay),1970,218,3,6,1
Tupamaros (Uruguay),1970,218,3,6,1
Armed Revolutionary Independence Movement (MIRA),1970,217,3,6,1
Armed Revolutionary Independence Movement (MIRA),1970,217,7,8,12
Student Radicals,1970,217,7,8,4
Tupamaros (Uruguay),1970,218,3,6,8
Tupamaros (Uruguay),1970,218,1,5,10
Left-Wing Militants,1970,217,7,8,2
Tupamaros (Uruguay),1970,218,3,6,1
Left-Wing Militants,1970,217,3,6,2
Left-Wing Militants,1970,217,3,6,4
Irish Republican Extremists,1970,603,2,5,14
Turkish People's Liberation Army,1970,209,3,6,4
Left-Wing Militants,1970,217,3,6,4
Turkish People's Liberation Army,1970,209,2,5,3
Revolutionary Armed Forces- Argentina (FAR-A),1970,11,2,5,1
GAC,1970,185,3,6,16
Left-Wing Militants,1970,217,3,6,2
White extremists,1971,217,7,8,14
Student Radicals,1971,217,7,8,4
Left-Wing Militants,1971,217,3,6,4
Black Nationalists,1971,217,7,8,12
Turkish People's Liberation Army,1971,209,3,6,4
Tupamaros (Uruguay),1971,218,6,13,7
Jewish Defense League (JDL),1971,217,3,6,7
Black Nationalists,1971,217,7,8,8
Black Nationalists,1971,217,7,8,8
Tupamaros (Uruguay),1971,218,1,5,3
Turkish People's Liberation Army,1971,209,2,5,1
Black Nationalists,1971,217,7,8,8
Left-Wing Militants,1971,217,7,8,2
Black Liberation Army,1971,217,2,5,3
Left-Wing Militants,1971,217,3,6,4
Left-Wing Militants,1971,217,3,6,4
Black Nationalists,1971,217,3,6,3
Left-Wing Militants,1971,217,3,6,2
Strikers,1971,217,7,8,14
Turkish People's Liberation Army,1971,209,3,6,7
Eritrean Liberation Front,1971,65,4,13,6
Peronist Armed Forces (FAP),1971,11,2,5,1
Black Liberation Army,1971,217,2,9,3
Turkish People's Liberation Army,1971,209,7,8,7
Turkish People's Liberation Army,1971,209,3,6,4
Black Nationalists,1971,217,3,6,8
Tupamaros (Uruguay),1971,218,2,5,8
Tupamaros (Uruguay),1971,218,2,5,10
Tupamaros (Uruguay),1971,218,2,5,8
Irish Republican Army (IRA),1971,603,1,5,14
Turkish People's Liberation Army,1971,209,3,6,2
Chicano Liberation Front,1971,217,3,6,2
Revolutionary Armed Forces- Argentina (FAR-A),1971,11,3,6,1
Turkish People's Liberation Army,1971,209,3,6,2
Turkish People's Liberation Army,1971,209,3,6,4
Tupamaros (Uruguay),1971,218,6,13,1
White extremists,1971,217,7,8,2
Irish Republican Army (IRA),1971,603,1,5,4
Irish Republican Extremists,1971,603,1,5,14
Turkish People's Liberation Army,1971,209,3,6,4
Irish Republican Army (IRA),1971,603,3,6,4
Black Nationalists,1971,217,3,6,8
Turkish People's Liberation Army,1971,209,3,6,14
Croatian Nationalists,1971,198,2,5,7
Neo-Nazi extremists,1971,217,3,6,14
Left-Wing Militants,1971,217,3,6,4
Left-Wing Militants,1971,217,7,8,2
Turkish People's Liberation Army,1971,209,6,13,4
Irish Republican Army (IRA),1971,603,1,5,4
Puerto Rican Nationalists,1971,217,3,6,1
Puerto Rican Nationalists,1971,217,3,6,1
Puerto Rican Nationalists,1971,217,3,6,4
Puerto Rican Nationalists,1971,217,7,8,1
Puerto Rican Nationalists,1971,217,7,8,1
Turkish People's Liberation Army,1971,209,3,6,4
Turkish People's Liberation Army,1971,209,3,6,4
Turkish People's Liberation Army,1971,209,3,6,7
Black Afro Militant Movement,1971,217,2,5,3
Armed Forces of National Liberation- Venezuela (FALN),1971,222,6,13,1
Chicano Liberation Front,1971,217,3,6,1
Irish Republican Army (IRA),1971,603,1,5,3
Student Radicals,1971,217,7,8,4
Puerto Rican Nationalists,1971,217,3,6,2
New People's Army (NPA),1971,160,3,6,4
Armed Forces of National Liberation- Venezuela (FALN),1971,222,6,13,1
Chicano Liberation Front,1971,217,3,6,1
"Weather Underground, Weathermen",1971,217,3,6,2
Turkish People's Liberation Army,1971,209,6,13,4
Student Radicals,1971,217,7,8,8
Official Irish Republican Army (OIRA),1971,603,1,5,17
Baader-Meinhof Group,1971,362,2,5,1
Tupamaros (Uruguay),1971,218,6,13,2
Irish Republican Army (IRA),1971,603,1,5,4
Ku Klux Klan,1971,217,3,6,14
Left-Wing Militants,1971,217,3,6,3
Turkish People's Liberation Army,1971,209,3,6,1
Turkish People's Liberation Army,1971,209,3,6,10
Popular Front for the Liberation of Palestine (PFLP),1971,142,3,6,21
Tupamaros (Uruguay),1971,218,2,5,10
Left-Wing Militants,1971,217,7,8,2
"Weather Underground, Weathermen",1971,217,3,6,2
Student Radicals,1971,217,7,8,4
Catalan Liberation Front (FAC),1971,185,3,6,1
Left-Wing Militants,1971,217,3,6,4
Armed Revolutionary Independence Movement (MIRA),1971,217,7,8,1
Student Radicals,1971,217,7,8,8
"Weather Underground, Weathermen",1971,217,3,6,1
Student Radicals,1971,217,3,6,8
Left-Wing Militants,1971,217,7,8,1
Ejercito Revolucionaria del Pueblo (ERP) (Argentina),1971,11,3,6,10
Black Liberation Army,1971,217,3,6,3
Secret Cuban Government,1971,217,3,6,14
Students,1971,160,4,5,6
Jewish Defense League (JDL),1971,217,3,6,14
Left-Wing Militants,1971,217,7,8,4
Popular Front for the Liberation of Palestine (PFLP),1971,102,3,6,21
Catalan Liberation Front (FAC),1971,185,3,6,10
Black Nationalists,1971,217,2,5,3
Catalan Liberation Front (FAC),1971,185,3,6,8
Ku Klux Klan,1971,217,6,5,14
Left-Wing Militants,1971,217,7,8,2
Left-Wing Militants,1971,217,3,6,1
Turkish People's Liberation Army,1971,209,3,6,4
Turkish People's Liberation Army,1971,209,3,6,4
Croatian Nationalists,1971,198,1,13,7
Chicano Liberation Front,1971,217,3,6,2
Peronist Armed Forces (FAP),1971,11,2,5,3
Student Radicals,1971,217,7,8,8
Puerto Rican Nationalists,1971,217,3,6,1
Left-Wing Militants,1971,217,3,6,2
Black Panthers,1971,217,1,5,22
Black Panthers,1971,217,2,5,3
Catalan Liberation Front (FAC),1971,185,3,6,19
Armed Commandos of Liberation,1971,217,3,6,1
Left-Wing Militants,1971,217,3,6,4
Left-Wing Militants,1971,217,3,6,1
Left-Wing Militants,1971,217,7,8,2
Jewish Defense League (JDL),1971,217,3,6,1
Chicano Liberation Front,1971,217,3,6,2
Left-Wing Militants,1971,217,7,8,2
"Weather Underground, Weathermen",1971,217,3,6,1
Student Radicals,1971,217,2,5,21
Left-Wing Militants,1971,217,3,6,4
Student Radicals,1971,217,7,8,4
Student Radicals,1971,217,7,8,8
Student Radicals,1971,217,7,8,8
Left-wing extremists,1971,217,3,6,8
Left-Wing Militants,1971,217,3,6,1
Left-Wing Militants,1971,217,3,6,1
Chicano Liberation Front,1971,217,3,6,1
Revolutionary Armed Forces- Argentina (FAR-A),1971,11,2,5,4
Chicano Liberation Front,1971,217,3,6,1
Chicano Liberation Front,1971,217,3,6,1
Left-Wing Militants,1971,217,7,8,1
Left-Wing Militants,1971,217,1,9,4
Left-Wing Militants,1971,217,7,8,4
Left-Wing Militants,1971,217,3,6,2
GAC,1971,185,3,6,10
Turkish People's Liberation Army,1971,209,3,6,4
